Designator,Mid X,Mid Y,Rotation,Layer
D1,53.663657,-76.600591,180.0,bottom
D10,245.856658,-76.604591,180.0,bottom
D11,53.658662,-93.601587,180.0,bottom
D12,73.446662,-91.26959,174.0,bottom
D13,92.780659,-91.113591,170.0,bottom
D14,110.173662,-98.864592,168.0,bottom
D15,127.363661,-104.564589,168.0,bottom
D16,171.86566,-101.844588,-168.0,bottom
D17,189.05966,-96.148591,-168.0,bottom
D18,206.54066,-88.843591,-170.0,bottom
D19,225.999657,-89.90659,-174.0,bottom
D2,75.22266,-74.357592,174.0,bottom
D20,245.856661,-93.603588,180.0,bottom
D21,53.66166,-110.599588,180.0,bottom
D22,71.671659,-108.17359,174.0,bottom
D23,89.829661,-107.855589,170.0,bottom
D24,106.639661,-115.494592,168.0,bottom
D25,123.82666,-121.192588,168.0,bottom
D26,175.402655,-118.477588,-168.0,bottom
D27,192.595659,-112.769591,-168.0,bottom
D28,209.493664,-105.585581,-170.0,bottom
D29,227.774664,-106.809594,-174.0,bottom
D3,95.726662,-74.370593,170.0,bottom
D30,245.859661,-110.605589,180.0,bottom
D31,58.161659,-140.106588,180.0,bottom
D32,100.720661,-143.340591,168.0,bottom
D33,122.726662,-148.017593,168.0,bottom
D34,176.505662,-145.295589,-168.0,bottom
D35,198.517659,-140.620586,-168.0,bottom
D36,241.359662,-140.113587,180.0,bottom
D4,113.708661,-82.238589,168.0,bottom
D5,130.899661,-87.936589,168.0,bottom
D6,168.332665,-85.219591,-168.0,bottom
D7,185.525664,-79.517589,-168.0,bottom
D8,203.58966,-72.103588,-170.0,bottom
D9,224.223657,-72.996586,-174.0,bottom
J2,110.820032,-52.103408,180.0,bottom
RSW1,131.181031,-149.256408,180.0,top
SW1,47.10666,-70.702588,0.0,top
SW10,239.30766,-70.710588,0.0,top
SW11,47.106663,-87.702586,0.0,top
SW12,67.547465,-84.716177,-6.0,top
SW13,87.349583,-84.166826,-10.0,top
SW14,104.992956,-91.731679,-12.0,top
SW15,122.180957,-97.433678,-12.0,top
SW16,164.233835,-97.438557,12.0,top
SW17,181.426833,-91.740559,12.0,top
SW18,199.064813,-84.176342,10.0,top
SW19,218.869961,-84.725046,6.0,top
SW2,69.324449,-67.809308,-6.0,top
SW20,239.307661,-87.710587,0.0,top
SW21,47.10666,-104.702588,0.0,top
SW22,65.770474,-101.623045,-6.0,top
SW23,84.397561,-100.908564,-10.0,top
SW24,101.458466,-108.360187,-12.0,top
SW25,118.646466,-114.062185,-12.0,top
SW26,167.768332,-114.067069,12.0,top
SW27,184.961335,-108.36907,12.0,top
SW28,202.016836,-100.918081,10.0,top
SW29,220.64694,-101.631909,6.0,top
SW3,90.301602,-67.425091,-10.0,top
SW30,239.307659,-104.710589,0.0,top
SW31,51.610658,-134.209589,0.0,top
SW32,95.535465,-136.212194,-12.0,top
SW33,117.546462,-140.887188,-12.0,top
SW34,168.866333,-140.891071,12.0,top
SW35,190.880332,-136.213068,12.0,top
SW36,234.80566,-134.211587,0.0,top
SW4,108.527461,-75.103174,-12.0,top
SW5,125.715463,-80.805172,-12.0,top
SW6,160.699336,-80.81005,12.0,top
SW7,177.892335,-75.112048,12.0,top
SW8,196.112799,-67.434613,10.0,top
SW9,217.092976,-67.81817,6.0,top
SW_POWER1,118.62203,-52.363406,0.0,bottom
U1,143.212657,-128.910588,-90.0,bottom
